序列   电影名称   评星   评论人数   上映国家   上映时间   简述
178   贫民窟的百万富翁   8.6   605919人评价    英国    2008    上帝之城+猜火车+阿甘正传+开心辞典=山寨富翁
179   东邪西毒   8.6   469338人评价    中国香港中国台湾    1994    电影诗。
180   黑天鹅   8.6   668969人评价    美国    2010    黑暗之美。
181   海街日记   8.8   319392人评价    日本    2015    是枝裕和的家庭习作。
182   惊魂记   9.0   192879人评价    美国    1960    故事的反转与反转，分裂电影的始祖。
183   无敌破坏王   8.7   417760人评价    美国    2012    迪士尼和皮克斯拿错剧本的产物。
184   你看起来好像很好吃   8.9   267534人评价    日本    2010    感情不分食草或者食肉。
185   冰川时代   8.6   495037人评价    美国    2002    松鼠才是角儿。
181   海街日记   8.8   319392人评价    日本    2015    是枝裕和的家庭习作。
182   惊魂记   9.0   192879人评价    美国    1960    故事的反转与反转，分裂电影的始祖。
183   无敌破坏王   8.7   417760人评价    美国    2012    迪士尼和皮克斯拿错剧本的产物。
184   你看起来好像很好吃   8.9   267534人评价    日本    2010    感情不分食草或者食肉。
185   冰川时代   8.6   495037人评价    美国    2002    松鼠才是角儿。
186   雨人   8.7   329090人评价    美国    1988    生活在自己的世界里，也可以让周围的人显得可笑和渺小。
187   小偷家族   8.7   649204人评价    日本    2018    我们组成了家。
188   恋恋笔记本   8.5   518283人评价    美国    2004    爱情没有那么多借口，如果不能圆满，只能说明爱的不够。 
189   绿里奇迹   8.9   230270人评价    美国    1999    天使暂时离开。
190   爱在午夜降临前   8.8   267620人评价    美国希腊    2013    所谓爱情，就是话唠一路，都不会心生腻烦，彼此嫌弃。
191   疯狂的石头   8.5   631447人评价    中国大陆中国香港    2006    中国版《两杆大烟枪》。
192   恐怖游轮   8.5   623712人评价    英国澳大利亚    2009    不要企图在重复中寻找已经失去的爱。
193   哈利·波特与火焰杯   8.6   425255人评价    英国美国    2005    世界不完美，爱会有奇迹。
194   奇迹男孩   8.6   452162人评价    美国中国香港    2017    宫崎骏的电影总让人感觉世界是美好的，阳光明媚的。
195   魔女宅急便   8.6   363039人评价    日本    1989    骨灰级歌舞片。
196   雨中曲   9.0   162468人评价    美国    1952    有一些东西不应该被遗忘。
197   寄生虫   8.7   1071932人评价    韩国    2019    我们都有权利不与自己的过去和解。
198   二十二   8.7   232003人评价    中国大陆    2015    被偷走的岁月，被伤害的生命，被禁锢的灵魂，终将被希望和善意救赎。
199   海边的曼彻斯特   8.6   381008人评价    美国    2016    永远看不腻的喜剧。
200   房间   8.8   310626人评价    爱尔兰加拿大英国美国    2015    对爱的执着，可以超越一切。
201   虎口脱险   8.9   186326人评价    法国英国    1966    现代科幻电影的开山之作，最伟大导演的最伟大影片。
202   人工智能   8.7   345759人评价    美国英国    2001    人生的N种可能性。
